timestamp,cpu_pct,mem_pct,net_in_kbps,net_out_kbps,disk_io_ops,latency_ms,errors_5xx,queue_depth,build_number
0,32.33,42.48,1323.7,543.4,175,17.39,0,3.3,1042
30,29.61,42.42,1596.3,655.6,203,12.84,0,2.3,1042
60,29.04,42.09,1345.0,536.5,324,14.54,0,2.7,1042
90,28.49,42.19,1419.7,415.9,293,16.00,0,1.6,1042
120,28.31,42.38,1294.8,511.4,287,14.13,0,0.5,1042
150,34.53,42.53,1411.8,608.5,244,14.86,0,1.3,1042
180,31.94,42.85,1411.1,416.4,287,15.47,0,2.3,1042
210,33.34,43.27,1237.3,397.4,281,12.06,0,1.9,1042
240,35.11,43.01,1312.5,526.6,309,13.27,0,2.5,1042
270,32.03,43.40,1274.9,399.0,293,17.96,0,3.4,1042
300,36.60,43.28,1616.5,447.7,282,18.39,0,3.4,1042
330,34.67,43.71,1536.2,643.6,366,16.71,0,3.7,1042
360,32.56,44.08,1507.9,586.3,325,18.47,0,2.6,1042
390,35.46,44.06,1619.6,509.1,349,14.96,0,3.7,1042
420,39.50,44.12,1313.0,426.5,395,22.01,0,3.9,1042
450,41.04,44.61,1209.8,441.1,292,21.06,0,4.1,1042
480,40.73,44.78,1336.0,476.5,328,19.60,0,3.7,1042
510,38.12,44.64,1289.4,405.5,421,20.23,0,3.1,1042
540,35.68,45.18,1554.0,428.2,429,17.93,0,2.3,1042
570,34.73,45.51,1318.3,453.7,401,19.17,0,2.5,1042
600,35.50,45.31,1577.5,618.9,342,16.32,0,2.2,1042
630,39.82,45.28,1436.4,431.4,331,17.54,0,1.5,1042
660,40.02,45.61,1649.8,593.7,437,21.98,0,1.5,1042
690,36.71,45.90,1237.3,380.2,389,20.28,0,0.5,1042
720,36.57,45.86,1288.9,465.8,384,19.69,0,1.4,1042
750,42.00,46.12,1194.4,431.4,345,23.28,0,2.0,1042
780,39.52,46.19,1500.1,570.7,462,20.39,0,1.0,1042
810,37.83,46.24,1326.7,415.1,367,15.33,0,0.0,1042
840,41.66,46.18,1242.3,538.8,358,18.21,0,0.0,1042
870,38.95,46.50,1221.6,339.3,386,19.62,0,0.5,1042
900,42.85,46.66,1653.9,599.0,404,17.04,0,1.3,1042
930,37.24,46.32,1481.7,523.3,413,17.60,1,0.5,1042
960,42.06,46.84,1354.1,552.3,403,19.87,0,1.6,1042
990,39.93,47.09,1400.0,443.3,456,21.79,0,1.0,1042
1020,43.11,47.57,1236.8,470.6,387,17.60,0,1.2,1042
1050,36.46,48.12,1482.4,449.5,336,20.13,0,1.0,1042
1080,39.92,48.30,1332.2,492.3,391,20.33,0,1.6,1042
1110,41.01,48.25,1683.7,573.3,353,19.37,0,1.7,1042
1140,41.06,48.40,1725.7,578.6,443,18.89,0,2.4,1042
1170,43.07,48.78,1361.1,595.3,378,21.24,0,2.8,1042
1200,39.98,49.06,1473.9,393.5,397,22.56,0,1.7,1042
1230,38.35,48.76,1425.4,473.0,359,21.05,0,1.5,1042
1260,40.92,48.85,1509.2,557.3,406,23.05,0,2.0,1042
1290,37.41,48.98,1618.5,576.8,320,16.06,0,2.4,1042
1320,35.90,48.73,1510.2,411.4,407,19.77,0,1.2,1042
1350,35.28,48.63,1469.5,590.6,363,15.23,0,2.0,1042
1380,37.09,48.95,1707.2,631.2,356,19.65,1,1.4,1042
1410,36.30,48.88,1261.4,504.2,340,14.08,0,1.6,1042
1440,35.13,48.55,1659.8,567.2,272,19.72,0,1.0,1042
1470,34.58,48.93,1381.1,437.7,304,15.39,0,1.3,1042
1500,37.16,49.15,1495.1,422.7,298,18.76,0,1.1,1042
1530,38.13,49.05,1680.6,651.9,293,15.63,0,1.1,1042
1560,34.01,48.87,1550.1,467.8,310,16.34,0,2.2,1042
1590,38.25,49.19,1664.8,465.4,309,21.57,0,2.0,1042
1620,37.12,49.11,1331.3,528.8,263,19.34,0,2.4,1042
1650,32.74,49.08,1330.2,344.6,235,14.32,0,3.2,1042
1680,37.09,48.75,1283.7,484.3,288,15.61,0,3.1,1042
1710,33.09,48.95,1492.8,464.1,227,17.30,0,2.4,1042
1740,33.61,49.42,1406.0,581.8,235,18.49,0,1.4,1042
1770,30.09,49.17,1632.9,627.0,262,10.15,0,0.5,1042
1800,36.37,48.86,1603.2,688.2,288,14.01,0,0.0,1042
1830,36.20,49.22,1429.2,610.7,231,20.59,0,0.7,1042
1860,30.11,49.19,1696.4,595.2,269,14.23,0,0.6,1042
1890,30.74,49.33,1438.9,447.8,193,16.26,0,1.3,1042
1920,34.09,49.69,1507.8,553.6,144,19.33,0,0.5,1042
1950,33.89,49.92,1464.6,466.7,206,15.09,0,0.6,1042
1980,34.26,50.46,1324.0,438.0,163,16.61,0,0.7,1042
2010,26.22,50.52,1331.5,561.6,136,10.56,0,0.0,1042
2040,27.53,50.88,1502.8,582.5,242,12.28,0,0.8,1042
2070,30.91,50.83,1512.6,524.4,223,11.47,0,0.0,1042
2100,32.40,50.65,1483.7,486.9,198,11.13,0,0.2,1042
2130,24.86,50.53,1402.8,431.8,122,6.87,0,1.4,1042
2160,26.09,50.32,1402.8,511.4,156,13.15,0,1.6,1042
2190,30.78,50.76,1588.2,508.7,75,15.54,0,1.3,1042
2220,30.89,51.04,1380.6,520.7,172,9.69,0,0.2,1042
2250,28.56,51.38,1400.6,426.1,188,14.30,0,0.9,1042
2280,25.73,51.05,1622.6,543.5,169,11.67,0,0.4,1042
2310,23.14,50.80,1718.7,605.3,162,6.74,0,0.0,1042
2340,28.36,50.54,1537.3,538.0,45,12.31,0,0.0,1042
2370,27.51,51.09,1448.0,556.1,131,15.40,0,0.4,1042
2400,25.93,51.28,1304.9,529.1,35,7.42,0,0.0,1042
2430,25.14,51.43,1337.3,508.5,42,13.23,0,0.1,1042
2460,22.25,51.77,1459.4,445.3,149,10.27,1,0.1,1042
2490,22.28,51.47,1759.1,767.9,26,7.42,0,1.0,1042
2520,26.94,51.32,1320.7,421.6,33,13.18,0,1.0,1042
2550,26.24,51.74,1455.0,422.2,98,13.87,1,0.6,1042
2580,26.39,51.98,1335.2,402.5,109,10.25,0,1.5,1042
2610,27.60,52.07,1470.9,476.8,131,15.00,0,2.4,1042
2640,24.39,51.85,1437.2,466.3,106,7.10,0,2.4,1042
2670,22.41,52.22,1426.0,580.0,51,11.17,0,3.4,1042
2700,28.45,52.31,1755.5,578.9,144,12.79,0,4.0,1042
2730,28.85,52.09,1722.0,548.2,148,15.41,0,3.0,1042
2760,23.67,52.14,1751.4,626.1,74,7.04,0,2.8,1042
2790,28.44,52.55,1340.0,490.6,100,15.26,0,2.2,1042
2820,24.93,52.95,1422.2,443.7,35,12.97,0,1.1,1042
2850,25.06,52.95,1771.3,601.1,128,13.03,0,1.4,1042
2880,23.70,52.73,1460.7,578.5,126,6.96,0,2.4,1042
2910,23.15,52.44,1610.0,613.4,150,5.58,0,2.4,1042
2940,25.63,52.18,1430.7,390.6,129,8.00,0,3.5,1042
2970,29.98,52.27,1340.2,400.3,64,12.13,0,3.8,1042
3000,26.65,52.75,1547.7,592.9,170,11.58,0,3.3,1042
3030,25.22,52.60,1603.9,679.1,89,10.61,0,3.6,1042
3060,30.27,52.69,1524.1,443.7,87,11.86,0,4.7,1042
3090,26.89,52.54,1859.9,560.9,179,13.98,0,5.7,1042
3120,29.17,52.25,1389.4,420.5,100,10.50,0,4.9,1042
3150,26.62,52.09,1749.6,701.9,128,10.93,0,4.6,1042
3180,32.23,51.99,1491.6,443.1,113,11.94,0,3.4,1042
3210,27.22,51.85,1450.7,507.5,201,8.33,0,3.9,1042
3240,31.13,51.70,1354.9,494.6,88,13.64,0,4.5,1042
3270,31.73,51.70,1697.4,546.4,133,17.35,0,5.2,1042
3300,31.34,52.11,1607.0,529.3,187,13.21,0,6.0,1042
3330,29.98,52.55,1793.5,676.7,235,10.32,0,7.1,1042
3360,30.62,52.30,1532.5,642.8,169,12.36,0,6.7,1042
3390,35.69,52.68,1740.2,673.0,152,17.71,0,6.4,1042
3420,32.42,52.33,1516.7,501.9,131,10.52,0,7.1,1042
3450,31.56,52.59,1547.4,490.1,155,12.42,0,6.7,1042
3480,36.16,52.59,1744.9,680.1,184,17.31,0,5.6,1042
3510,37.95,53.08,1613.7,452.1,145,16.70,0,5.0,1042
3540,33.40,53.35,1705.8,512.9,253,12.17,0,4.0,1042
3570,33.48,53.32,1573.1,671.5,200,16.34,0,4.5,1042
3600,36.15,53.21,1488.2,439.6,255,16.98,0,4.3,1042
3630,34.20,53.70,1620.5,484.8,190,19.14,0,3.3,1042
3660,39.52,53.49,1522.3,595.5,200,15.74,0,3.5,1042
3690,34.09,53.47,1383.3,523.7,297,12.41,0,3.7,1042
3720,37.16,53.71,1848.5,718.5,323,20.39,0,2.5,1042
3750,35.60,53.94,1439.1,463.2,265,15.05,0,3.5,1042
3780,37.21,53.90,1830.8,580.6,327,18.34,0,3.0,1042
3810,41.51,53.95,1465.1,528.0,351,18.15,0,1.8,1042
3840,36.99,54.40,1902.6,628.8,312,15.23,0,2.7,1042
3870,37.00,54.76,1762.3,585.0,382,16.73,0,1.8,1042
3900,42.94,54.82,1629.0,633.2,348,18.04,0,2.2,1042
3930,43.83,54.91,1746.2,681.3,395,21.80,0,1.6,1042
3960,37.94,55.22,1430.1,462.9,319,18.41,0,1.2,1042
3990,43.96,55.40,1826.8,580.2,399,23.66,0,1.2,1042
4020,42.10,55.52,1487.9,517.0,283,20.34,0,1.9,1042
4050,43.35,55.47,1405.1,477.4,370,23.08,0,2.4,1042
4080,45.68,55.61,1738.9,529.1,412,21.72,0,2.2,1042
4110,47.47,55.85,1665.5,709.9,297,21.51,0,1.1,1042
4140,40.89,55.78,1466.5,431.0,368,21.10,0,1.3,1042
4170,44.33,55.90,1574.1,603.4,376,17.76,0,1.0,1042
4200,42.46,55.63,1486.1,502.9,378,24.05,0,1.1,1042
4230,44.88,55.61,1714.2,570.7,373,20.76,0,1.9,1042
4260,44.38,55.99,1543.7,555.1,406,17.63,0,1.9,1042
4290,41.36,55.74,1785.9,511.8,447,19.98,0,1.2,1042
4320,44.35,56.27,1808.4,734.1,418,24.19,0,1.4,1042
4350,48.46,56.50,1431.2,429.5,381,21.58,0,0.9,1042
4380,41.98,56.50,1525.8,578.0,441,17.51,0,1.5,1042
4410,43.25,56.38,1524.1,494.5,367,18.31,0,0.6,1042
4440,49.49,56.44,1623.2,587.8,434,21.43,0,0.2,1042
4470,44.79,56.70,1870.3,693.0,349,19.04,0,0.0,1042
4500,49.95,56.61,1502.7,555.4,418,28.40,0,0.2,1042
4530,47.38,56.77,1791.7,542.6,360,22.16,0,0.4,1042
4560,43.84,56.71,1784.7,615.5,468,21.22,0,0.0,1042
4590,45.66,56.52,1589.6,521.1,438,23.12,0,0.4,1042
4620,45.21,56.30,1753.7,604.2,401,19.13,0,0.5,1042
4650,45.00,56.13,1751.1,560.9,428,22.37,0,0.1,1042
4680,43.49,56.14,1592.1,651.6,347,24.08,0,1.3,1042
4710,49.19,56.44,1817.1,521.8,336,21.17,0,1.4,1042
4740,42.04,56.13,1708.5,554.6,391,22.60,0,0.5,1042
4770,43.66,55.86,1651.6,664.5,337,21.89,0,0.8,1042
4800,41.57,55.84,1718.6,547.5,388,21.67,0,1.7,1042
4830,47.57,55.67,1695.7,681.1,431,19.71,1,2.6,1042
4860,42.61,56.18,1473.7,493.8,342,22.32,0,2.2,1042
4890,44.14,56.00,1539.6,581.7,394,23.35,0,3.4,1042
4920,45.65,56.22,1686.1,540.4,306,25.46,0,3.1,1042
4950,46.40,56.34,1912.3,771.1,357,24.83,0,3.1,1042
4980,45.97,56.46,1741.7,458.7,399,21.52,0,3.2,1042
5010,45.96,56.75,1839.8,647.4,404,24.74,0,2.4,1042
5040,39.80,56.92,1484.3,607.5,375,16.33,0,3.2,1042
5070,39.52,56.92,1558.3,650.2,353,21.49,0,2.9,1042
5100,41.48,56.64,1747.7,690.4,316,20.07,0,3.7,1042
5130,38.84,56.80,1479.1,480.9,377,14.89,0,4.2,1042
5160,43.87,56.56,1802.5,543.4,325,20.06,0,4.8,1042
5190,40.61,56.81,1865.9,621.7,287,18.89,0,4.3,1042
5220,43.82,57.30,1905.6,699.1,342,17.70,0,5.2,1042
5250,41.59,57.19,1828.6,747.7,279,16.19,0,5.3,1042
5280,42.02,57.14,1523.7,525.9,331,21.99,0,6.2,1042
5310,39.19,57.03,1862.2,796.8,227,21.35,0,6.0,1042
5340,38.26,57.06,1780.3,698.1,265,20.72,0,5.5,1042
5370,40.71,57.45,1954.9,758.6,207,15.60,0,4.4,1042
5400,40.47,57.21,1729.6,536.6,271,19.25,0,4.9,1042
5430,41.98,57.52,1828.0,752.7,301,16.79,0,4.6,1042
5460,36.04,57.52,1542.9,502.5,237,18.64,0,5.6,1042
5490,39.09,57.96,1502.2,597.2,187,17.45,0,4.5,1042
5520,38.76,57.81,1890.4,721.3,198,20.94,0,4.1,1042
5550,33.73,57.88,1656.4,572.8,130,14.17,0,3.6,1042
5580,35.30,58.40,2012.2,785.3,177,19.70,0,4.2,1042
5610,31.77,58.63,1714.0,555.9,221,14.06,0,4.4,1042
5640,32.49,58.95,1818.4,685.0,187,18.24,0,4.7,1042
5670,33.23,59.29,1930.8,547.7,115,17.50,0,4.4,1042
5700,38.25,59.56,1577.4,474.2,199,15.66,0,4.5,1042
5730,37.07,59.22,1912.5,768.0,175,15.70,0,5.6,1042
5760,30.19,59.54,1625.7,518.1,90,14.13,0,5.1,1042
5790,30.45,59.28,1682.7,616.2,191,14.66,0,5.1,1042
5820,29.88,59.79,1767.1,508.7,96,15.68,0,4.2,1042
5850,36.15,60.21,1582.6,543.5,108,19.38,0,5.3,1042
5880,33.98,60.37,1706.9,495.2,127,13.64,0,6.1,1042
5910,31.26,60.31,1603.7,641.6,138,11.83,0,5.8,1042
5940,35.88,60.52,1596.7,543.3,139,18.82,0,6.7,1042
